job_id,permit_type,permit_subtype,work_type,job_type,filing_status,filing_date,borough,community_board,residential,bldg_type,zip_code
520322473,AL,,,A1,RENEWAL,2023-08-24,STATEN ISLAND,503,YES,1,10307
340897514,EW,OT,OT,A2,INITIAL,2023-08-24,BROOKLYN,318,YES,1,11234
320622858,FO,EA,,NB,RENEWAL,2023-08-25,BROOKLYN,301,YES,2,11206
321958850,NB,,,NB,RENEWAL,2023-08-29,BROOKLYN,304,YES,2,11221
520005039,PL,,PL,A2,INITIAL,2023-08-30,STATEN ISLAND,502,YES,2,10305
321596965,NB,,,NB,RENEWAL,2023-08-31,BROOKLYN,312,YES,2,11220
321637957,EW,OT,OT,A2,RENEWAL,2023-09-01,BROOKLYN,301,YES,1,11211
210180971,NB,,,NB,RENEWAL,2023-09-01,BRONX,205,YES,2,10468
322100882,DM,,,DM,RENEWAL,2023-09-01,BROOKLYN,312,,2,11219
120540619,EW,OT,OT,A2,RENEWAL,2023-09-05,MANHATTAN,102,,2,10013
321595001,AL,,,A1,RENEWAL,2023-09-06,BROOKLYN,307,YES,2,11215
100561429,AL,,,A1,RENEWAL,2023-09-05,MANHATTAN,105,YES,2,10010
340898201,EW,OT,OT,A2,INITIAL,2023-09-05,BROOKLYN,318,YES,1,11236
120804978,PL,,PL,A2,RENEWAL,2023-09-07,MANHATTAN,112,YES,2,10033
210179723,FO,EA,,NB,RENEWAL,2023-09-06,BRONX,211,YES,1,10469
321595001,FO,EA,,A1,RENEWAL,2023-09-06,BROOKLYN,307,YES,2,11215
321595001,FO,,,A1,RENEWAL,2023-09-06,BROOKLYN,307,YES,2,11215
321424259,EW,OT,OT,A2,RENEWAL,2023-09-11,BROOKLYN,303,YES,2,11216
220593926,FO,EA,,NB,RENEWAL,2023-09-11,BRONX,212,YES,1,10466
123908085,DM,,,DM,RENEWAL,2023-09-11,MANHATTAN,104,,2,10036
320613555,PL,,PL,A1,INITIAL,2023-09-12,BROOKLYN,303,YES,2,11221
440654784,NB,,,NB,RENEWAL,2023-09-12,QUEENS,404,YES,2,11368
